user:~$ rosrun simple_controller R1.py
[INFO] [1550382016.020681, 84.309000]: Got Status:
[INFO] [1550382016.021052, 84.309000]: 3
[INFO] [1550382018.722923, 84.537000]: Got Location from Robot2
[INFO] [1550382018.723306, 84.537000]: 2.0@6.0
[INFO] [1550382020.720835, 84.704000]: 2.0@3.0
[INFO] [1550382023.066287, 84.904000]: Got Status:
[INFO] [1550382023.066676, 84.904000]: 3
[INFO] [1550382025.329719, 85.104000]: Starting Iterations:
[INFO] [1550382025.330119, 85.104000]: Points ofRobot 2
[INFO] [1550382025.330860, 85.104000]: 2.0
[INFO] [1550382025.331517, 85.104000]: 6.0
[INFO] [1550382025.332031, 85.104000]: Goal Position is:
[INFO] [1550382025.332866, 85.104000]: 2.0006053873
[INFO] [1550382025.333627, 85.104000]: 3.60002450327
[INFO] [1550382073.005132, 89.104000]: Finished Iteration
[INFO] [1550382073.006187, 89.104000]: 2.0123339787
[INFO] [1550382073.007054, 89.104000]: 3.44596789588
[INFO] [1550382073.007813, 89.104000]: 0
[INFO] [1550382073.008460, 89.104000]: Waiting for next iteration value:
[INFO] [1550382073.009562, 89.104000]: 0
[INFO] [1550382073.010420, 89.104000]: 1
[INFO] [1550382073.011300, 89.104000]: 0
[INFO] [1550382079.712946, 89.704000]: PublishedStatus
[INFO] [1550382079.713413, 89.704000]: Waiting for Status
[INFO] [1550382187.256182, 98.537000]: Got Location from Robot2
[INFO] [1550382187.256572, 98.537000]: 2.79@5.68
[INFO] [1550382189.810179, 98.737000]: Got Status:
[INFO] [1550382189.810893, 98.737000]: 3
[INFO] [1550382191.421751, 98.904000]: Got Next iteration points
[INFO] [1550382191.422145, 98.904000]: PublishedPosition
[INFO] [1550382191.422696, 98.904000]: Points ofRobot 2
[INFO] [1550382191.423359, 98.904000]: 2.79
[INFO] [1550382191.424166, 98.904000]: 5.68
[INFO] [1550382191.424973, 98.904000]: Goal Position is:
[INFO] [1550382191.425620, 98.904000]: 2.16867541582
[INFO] [1550382191.426339, 98.904000]: 3.9330443148
[INFO] [1550382328.243432, 110.337000]: Got Location from Robot2
[INFO] [1550382328.243889, 110.337000]: 2.93@5.33
[INFO] [1550382342.449372, 111.504000]: FinishedIteration
[INFO] [1550382342.449833, 111.504000]: 2.15929613221
[INFO] [1550382342.452289, 111.504000]: 3.8160845242
[INFO] [1550382342.452678, 111.504000]: 1
[INFO] [1550382342.452998, 111.504000]: Waiting for next iteration value:
[INFO] [1550382342.454187, 111.504000]: 0
[INFO] [1550382342.455757, 111.504000]: 2
[INFO] [1550382342.459691, 111.504000]: 0
[INFO] [1550382349.784887, 112.106000]: Published Status
[INFO] [1550382349.785261, 112.106000]: Waiting for Status
[INFO] [1550382350.122570, 112.138000]: Got Status:
[INFO] [1550382350.122938, 112.138000]: 3
[INFO] [1550382351.906809, 112.304000]: Got Nextiteration points
[INFO] [1550382351.907353, 112.304000]: Published Position
[INFO] [1550382351.907686, 112.304000]: Points of Robot 2
[INFO] [1550382351.908961, 112.304000]: 2.93
[INFO] [1550382351.909727, 112.304000]: 5.33
[INFO] [1550382351.910508, 112.304000]: Goal Position is:
[INFO] [1550382351.914590, 112.304000]: 2.32525862694
[INFO] [1550382351.915400, 112.304000]: 4.15575246984
[INFO] [1550382356.197960, 112.704000]: FinishedIteration
[INFO] [1550382356.198369, 112.704000]: 2.25147490182
[INFO] [1550382356.198735, 112.704000]: 3.99165978782
[INFO] [1550382356.199039, 112.704000]: 2
[INFO] [1550382356.199501, 112.704000]: Waiting for next iteration value:
[INFO] [1550382356.199866, 112.704000]: 0
[INFO] [1550382356.200187, 112.704000]: 3
[INFO] [1550382356.200503, 112.704000]: 0
[INFO] [1550382362.792088, 113.304000]: Published Status
[INFO] [1550382362.792490, 113.304000]: Waiting for Status
[INFO] [1550382495.337505, 124.538000]: Got Location from Robot2
[INFO] [1550382495.337865, 124.538000]: 2.86@4.94
[INFO] [1550382498.385598, 124.738000]: Got Status:
