rosrun simple_controller R3.py
[INFO] [1550382016.022346, 84.309000]: Got Status:
[INFO] [1550382016.022720, 84.309000]: 3
[INFO] [1550382018.394487, 84.509000]: 5.0@5.0
[INFO] [1550382020.721637, 84.704000]: Got Location from Robot1
[INFO] [1550382020.722585, 84.704000]: 2.0@3.0
[INFO] [1550382023.067712, 84.904000]: Got Status:
[INFO] [1550382023.068083, 84.904000]: 3
[INFO] [1550382023.128940, 84.909000]: Starting Iterations:
[INFO] [1550382023.129358, 84.909000]: Points ofRobot 1
[INFO] [1550382023.129625, 84.909000]: 2.0
[INFO] [1550382023.129917, 84.909000]: 3.0
[INFO] [1550382023.130192, 84.909000]: Goal Position:
[INFO] [1550382023.130463, 84.909000]: 3.20030069476
[INFO] [1550382023.130733, 84.909000]: 3.8000123252
[INFO] [1550382073.012613, 89.104000]: Got Location from Robot1
[INFO] [1550382073.013026, 89.104000]: 2.01@3.45
[INFO] [1550382153.713840, 96.309000]: Finished Iteration
[INFO] [1550382153.714577, 96.309000]: 0
[INFO] [1550382153.715305, 96.309000]: 1
[INFO] [1550382153.716199, 96.309000]: PublishedPosition
[INFO] [1550382155.927404, 96.509000]: PublishedStatus
[INFO] [1550382157.949118, 96.709000]: Waiting for Status:
[INFO] [1550382189.813625, 98.737000]: Got Status:
[INFO] [1550382189.813959, 98.737000]: 3
[INFO] [1550382189.814396, 98.737000]: Got Next iteration points
[INFO] [1550382189.814761, 98.737000]: Points ofRobot 1
[INFO] [1550382189.816013, 98.737000]: 2.01
[INFO] [1550382189.816347, 98.737000]: 3.45
[INFO] [1550382189.817563, 98.737000]: Goal Position:
[INFO] [1550382189.817950, 98.737000]: 2.47494720624
[INFO] [1550382189.819318, 98.738000]: 3.65206566036
[INFO] [1550382342.461449, 111.504000]: Got Location from Robot1
[INFO] [1550382342.461863, 111.504000]: 2.16@3.82
[INFO] [1550382348.262711, 111.938000]: FinishedIteration
[INFO] [1550382348.264054, 111.938000]: 0
[INFO] [1550382348.264920, 111.938000]: 2
[INFO] [1550382348.265690, 111.938000]: Published Position
[INFO] [1550382350.117901, 112.138000]: Published Status
[INFO] [1550382350.120762, 112.138000]: Got Status:
[INFO] [1550382350.121062, 112.138000]: 3
[INFO] [1550382352.298357, 112.338000]: Waiting for Status:
[INFO] [1550382352.298808, 112.338000]: Got Nextiteration points
[INFO] [1550382352.299158, 112.338000]: Points of Robot 1
[INFO] [1550382352.299942, 112.338000]: 2.16
[INFO] [1550382352.300699, 112.338000]: 3.82
[INFO] [1550382352.301532, 112.338000]: Goal Position:
[INFO] [1550382352.302300, 112.338000]: 2.34584417613
[INFO] [1550382352.306650, 112.338000]: 3.7784318273
[INFO] [1550382356.202154, 112.704000]: Got Location from Robot1
[INFO] [1550382356.202744, 112.704000]: 2.25@3.99
[INFO] [1550382484.916760, 123.738000]: FinishedIteration
