n simple_controller R.py
[INFO] [1550381998.403681, 82.704000]: 1
[INFO] [1550381998.404184, 82.704000]: Got Status from Robot1
[INFO] [1550382005.152282, 83.337000]: 2
[INFO] [1550382005.153202, 83.337000]: Got Status from Robot2
[INFO] [1550382016.018939, 84.309000]: 3
[INFO] [1550382016.019848, 84.309000]: Got Status from Robot3
[INFO] [1550382016.022114, 84.309000]: Publshed the value and reset the status poition:
[INFO] [1550382020.776784, 84.709000]: 1
[INFO] [1550382020.777841, 84.709000]: Got Status from Robot3
[INFO] [1550382021.110523, 84.737000]: 2
[INFO] [1550382021.111600, 84.737000]: Got Status from Robot2
[INFO] [1550382023.065790, 84.904000]: 3
[INFO] [1550382023.067144, 84.904000]: Publshed the value and reset the status poition:
[INFO] [1550382023.067733, 84.904000]: Got Status from Robot1
[INFO] [1550382075.185055, 89.304000]: 1
[INFO] [1550382075.185558, 89.304000]: Got Status from Robot1
[INFO] [1550382155.928063, 96.509000]: 2
[INFO] [1550382155.928438, 96.509000]: Got Status from Robot3
[INFO] [1550382189.809305, 98.737000]: 3
[INFO] [1550382189.809666, 98.737000]: Got Status from Robot2
[INFO] [1550382189.811569, 98.737000]: Publshed the value and reset the status poition:
[INFO] [1550382330.555388, 110.537000]: 1
[INFO] [1550382330.555913, 110.537000]: Got Status from Robot2
[INFO] [1550382345.061297, 111.705000]: 2
[INFO] [1550382345.062213, 111.705000]: Got Status from Robot1
[INFO] [1550382350.118371, 112.138000]: 3
[INFO] [1550382350.118828, 112.138000]: Got Status from Robot3
[INFO] [1550382350.125061, 112.138000]: Publshedthe value and reset the status poition:
[INFO] [1550382358.186897, 112.904000]: 1
[INFO] [1550382358.188160, 112.904000]: Got Status from Robot1
[INFO] [1550382486.981480, 123.938000]: 2
[INFO] [1550382486.981871, 123.938000]: Got Status from Robot3
[INFO] [1550382498.382906, 124.738000]: 3
[INFO] [1550382498.383671, 124.738000]: Got Status from Robot2
[INFO] [1550382498.388081, 124.738000]: Publshedthe value and reset the status poition:
[INFO] [1550382498.407781, 124.740000]: 1
[INFO] [1550382498.408166, 124.740000]: Got Status from Robot3
[INFO] [1550382503.358975, 125.105000]: 2
[INFO] [1550382503.359661, 125.105000]: Got Status from Robot1
[INFO] [1550382510.038066, 125.538000]: 3
[INFO] [1550382510.038862, 125.538000]: Got Status from Robot2
[INFO] [1550382510.041855, 125.539000]: Publshedthe value and reset the status poition:
[INFO] [1550382510.065172, 125.540000]: 1
[INFO] [1550382510.065560, 125.540000]: Got Status from Robot3
[INFO] [1550382515.756022, 125.904000]: 2
[INFO] [1550382515.756731, 125.904000]: Got Status from Robot1
[INFO] [1550382522.622179, 126.339000]: 3
[INFO] [1550382522.622962, 126.339000]: Got Status from Robot2
[INFO] [1550382522.626280, 126.339000]: Publshedthe value and reset the status poition:
[INFO] [1550382522.650464, 126.341000]: 1
[INFO] [1550382522.650920, 126.341000]: Got Status from Robot3
[INFO] [1550382527.619128, 126.704000]: 2
[INFO] [1550382527.620261, 126.704000]: Got Status from Robot1
[INFO] [1550382531.246882, 126.938000]: 3
[INFO] [1550382531.247372, 126.938000]: Got Status from Robot2
[INFO] [1550382531.252573, 126.938000]: Publshedthe value and reset the status poition:
[INFO] [1550382531.273686, 126.940000]: 1
[INFO] [1550382531.274102, 126.940000]: Got Status from Robot3
